Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,130.944,131.026,131.235,131.392,131.569,132.227,132.324,132.424,132.540,132.444,132.480,132.617
2013,133.036,133.383,133.520,133.724,134.250,134.900,135.108,135.185,135.288,135.048,135.104,135.374
2014,136.203,136.634,137.284,137.122,137.738,138.413,138.772,138.810,138.849,138.746,138.630,138.762
2015,139.200,139.405,139.604,139.779,140.011,140.761,141.123,141.177,141.377,141.214,141.124,141.157
2016,141.661,141.936,142.220,142.419,142.966,143.827,144.134,144.333,144.663,144.757,144.719,145.039
2017,145.784,146.182,146.338,146.581,147.076,147.763,147.796,148.229,148.451,148.571,148.591,148.926
2018,149.519,149.995,150.363,150.674,151.153,151.579,151.887,152.119,152.181,152.329,152.426,152.799
2019,153.374,153.785,154.284,154.579,154.990,155.699,156.055,156.085,156.415,156.324,156.371,156.562
2020,157.285,157.666,157.630,157.715,158.086,158.643,158.945,159.188,159.344,159.373,159.520,159.735
2021,160.105,160.504,160.937,161.602,162.450,163.450,164.294,164.603,165.411,166.219,166.774,167.455
2022,168.815,169.741,170.898,171.859,173.269,174.975,175.838,177.083,178.247,179.014,,